x,y
13.8333,0.5514
13.5000,0.5523
13.1667,0.5531
13.0906,0.5533
12.8333,0.5540
12.5000,0.5549
12.1667,0.5561
11.8798,0.5667
11.8768,0.5800
11.8737,0.5933
11.8707,0.6067
11.8676,0.6200
11.8646,0.6333
11.8616,0.6467
11.8585,0.6600
11.8555,0.6733
11.8524,0.6867
11.8494,0.7000
11.8463,0.7133
11.8433,0.7267
11.8402,0.7400
11.8372,0.7533
11.8341,0.7667
11.8333,0.7702
11.8311,0.7800
11.8280,0.7933
11.8333,0.7942
11.9107,0.8067
12.0791,0.8200
12.1667,0.8269
12.2474,0.8333
12.4158,0.8467
12.5000,0.8533
12.5842,0.8600
12.7525,0.8733
12.8333,0.8797
12.9209,0.8867
13.0893,0.9000
13.1667,0.9061
13.2576,0.9133
13.4260,0.9267
13.5000,0.9325
13.5944,0.9400
13.6841,0.9533
13.6687,0.9667
13.6404,0.9800
13.5996,0.9933
13.5845,1.0067
13.5950,1.0200
13.6123,1.0333
13.6395,1.0467
13.5549,1.0600
13.5000,1.0634
13.3404,1.0733
13.1667,1.0841
13.1258,1.0867
12.9113,1.1000
12.8333,1.1048
12.6967,1.1133
12.5000,1.1256
12.4822,1.1267
12.2676,1.1400
12.1667,1.1463
12.0530,1.1533
11.8385,1.1667
11.8333,1.1670
11.6239,1.1800
11.5000,1.1877
11.4094,1.1933
11.2974,1.2067
11.2879,1.2200
11.2785,1.2333
11.2691,1.2467
11.2596,1.2600
11.2502,1.2733
11.2407,1.2867
11.2313,1.3000
11.2219,1.3133
11.2124,1.3267
