x,y
11.6257,0.8733
11.5985,0.8867
11.5713,0.9000
11.5440,0.9133
11.5168,0.9267
11.5000,0.9341
11.4866,0.9400
11.4555,0.9533
11.4243,0.9667
11.3931,0.9800
11.3619,0.9933
11.3444,1.0067
11.3405,1.0200
11.3365,1.0333
11.3326,1.0467
11.3287,1.0600
11.3384,1.0733
11.4432,1.0867
11.5000,1.0930
11.5631,1.1000
11.6830,1.1133
11.8029,1.1267
11.5719,1.1400
11.5000,1.1437
11.3156,1.1533
11.1667,1.1611
11.0593,1.1667
10.8333,1.1784
10.8030,1.1800
10.5467,1.1933
10.5000,1.1979
10.4100,1.2067
10.3928,1.2200
10.3756,1.2333
10.3584,1.2467
10.3412,1.2600
10.3240,1.2733
10.3068,1.2867
10.2896,1.3000
10.2724,1.3133
10.2552,1.3267
